"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1686","Embarcadero, San Francisco, CA","1891","800 Jury Court, North San Jose, San Jose","11/15/2016 - 12/15/2016, Every day, Daily Average",3810,3017,4810
"1686","Embarcadero, San Francisco, CA","1903","Spring Street, Central San Jose, San Jose","11/15/2016 - 12/15/2016, Every day, Daily Average",4047,3077,5321
"1686","Embarcadero, San Francisco, CA","1917","4900 Moorpark Avenue, Strawberry Park, San Jose","11/15/2016 - 12/15/2016, Every day, Daily Average",3831,3183,4609
"1686","Embarcadero, San Francisco, CA","1919","300 Mac Arthur Avenue, Central San Jose, San Jose","11/15/2016 - 12/15/2016, Every day, Daily Average",4299,3537,5223
"1686","Embarcadero, San Francisco, CA","1920","1800 Fruitdale Avenue, Central San Jose, San Jose","11/15/2016 - 12/15/2016, Every day, Daily Average",4189,3540,4955
"1686","Embarcadero, San Francisco, CA","1935","100 Arroyo Grande Way, Los Gatos","11/15/2016 - 12/15/2016, Every day, Daily Average",3938,3201,4843
"1686","Embarcadero, San Francisco, CA","1936","14400 Chester Avenue, Saratoga","11/15/2016 - 12/15/2016, Every day, Daily Average",3545,2944,4267
"1686","Embarcadero, San Francisco, CA","1937","19500 Dorchester Drive, Golden Triangle, Saratoga","11/15/2016 - 12/15/2016, Every day, Daily Average",3629,2945,4470
"1686","Embarcadero, San Francisco, CA","1944","700 Girard Street, Visitacion Valley, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1159,813,1651
"1686","Embarcadero, San Francisco, CA","1949","7100 Rainbow Drive, West San Jose, San Jose","11/15/2016 - 12/15/2016, Every day, Daily Average",3543,2881,4356
"1686","Embarcadero, San Francisco, CA","1951","400 Delta Street, Visitacion Valley, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1618,1084,2414
"1686","Embarcadero, San Francisco, CA","1982","100 Monte Verde Drive, Vacaville","11/15/2016 - 12/15/2016, Every day, Daily Average",3748,3333,4213
"1686","Embarcadero, San Francisco, CA","1995","7600 Pleasants Valley Road, Vacaville","11/15/2016 - 12/15/2016, Every day, Daily Average",3617,3201,4086
"1686","Embarcadero, San Francisco, CA","1996","200 Riverview Drive, Vallejo","11/15/2016 - 12/15/2016, Every day, Daily Average",2821,2059,3864
"1686","Embarcadero, San Francisco, CA","2000","200 Genoa Court, Vallejo","11/15/2016 - 12/15/2016, Every day, Daily Average",2815,2076,3816
"1686","Embarcadero, San Francisco, CA","2020","200 Kirkland Ranch Road, American Canyon","11/15/2016 - 12/15/2016, Every day, Daily Average",3154,2335,4259
"1686","Embarcadero, San Francisco, CA","2022","200 Clearview Drive, Vallejo","11/15/2016 - 12/15/2016, Every day, Daily Average",2325,1718,3146
"1686","Embarcadero, San Francisco, CA","2023","0 Midway Street, Vallejo","11/15/2016 - 12/15/2016, Every day, Daily Average",2449,1821,3291
"1686","Embarcadero, San Francisco, CA","2029","4900 Ridgefield Circle, Fairfield","11/15/2016 - 12/15/2016, Every day, Daily Average",3166,2374,4221
"1686","Embarcadero, San Francisco, CA","2074","1500 Green Island Road, American Canyon","11/15/2016 - 12/15/2016, Every day, Daily Average",3503,2738,4481
"1686","Embarcadero, San Francisco, CA","2105","300 Olive Avenue, Novato","11/15/2016 - 12/15/2016, Every day, Daily Average",2579,2104,3160
"1686","Embarcadero, San Francisco, CA","2115","100 Sequoia Glen Lane, Novato","11/15/2016 - 12/15/2016, Every day, Daily Average",2401,2043,2821
"1686","Embarcadero, San Francisco, CA","2116","0 Waterbury Lane, Novato","11/15/2016 - 12/15/2016, Every day, Daily Average",2381,1917,2955
"1686","Embarcadero, San Francisco, CA","2117","0 Oxford Drive, San Rafael","11/15/2016 - 12/15/2016, Every day, Daily Average",2100,1720,2563
"1686","Embarcadero, San Francisco, CA","2118","2500 Lucas Valley Road, San Rafael","11/15/2016 - 12/15/2016, Every day, Daily Average",2306,1839,2890
"1686","Embarcadero, San Francisco, CA","2119","300 California Avenue, San Rafael","11/15/2016 - 12/15/2016, Every day, Daily Average",2271,1869,2759
"1686","Embarcadero, San Francisco, CA","2120","0 Reservoir Road, San Rafael","11/15/2016 - 12/15/2016, Every day, Daily Average",2057,1625,2602
"1686","Embarcadero, San Francisco, CA","2121","2900 Kerner Boulevard, San Rafael","11/15/2016 - 12/15/2016, Every day, Daily Average",1966,1526,2532
"1686","Embarcadero, San Francisco, CA","2127","0 Hamilton Drive, Mill Valley","11/15/2016 - 12/15/2016, Every day, Daily Average",1591,1273,1987
"1686","Embarcadero, San Francisco, CA","2131","700 Vía Casitas, Greenbrae, Larkspur","11/15/2016 - 12/15/2016, Every day, Daily Average",1966,1530,2525
"1686","Embarcadero, San Francisco, CA","2132","300 Vista Grande, Greenbrae, Kentfield","11/15/2016 - 12/15/2016, Every day, Daily Average",1895,1476,2432
"1686","Embarcadero, San Francisco, CA","2133","600 Manzanita Avenue, Corte Madera","11/15/2016 - 12/15/2016, Every day, Daily Average",1755,1378,2234
"1686","Embarcadero, San Francisco, CA","2134","300 San Rafael Avenue, Belvedere, Belvedere Tiburon","11/15/2016 - 12/15/2016, Every day, Daily Average",2084,1722,2520
"1686","Embarcadero, San Francisco, CA","2135","0 Fairway Drive, Mill Valley","11/15/2016 - 12/15/2016, Every day, Daily Average",1926,1544,2401
"1686","Embarcadero, San Francisco, CA","2136","300 Carrera Drive, Mill Valley","11/15/2016 - 12/15/2016, Every day, Daily Average",1477,1192,1829
"1686","Embarcadero, San Francisco, CA","2137","0 West Harbor Drive, Sausalito","11/15/2016 - 12/15/2016, Every day, Daily Average",1412,1143,1742
"1686","Embarcadero, San Francisco, CA","2145","500 Downing Avenue, Central San Jose, San Jose","11/15/2016 - 12/15/2016, Every day, Daily Average",3985,3492,4547
"1686","Embarcadero, San Francisco, CA","2155","3100 North Shoreline Boulevard, Mountain View","11/15/2016 - 12/15/2016, Every day, Daily Average",2918,2246,3790
"1686","Embarcadero, San Francisco, CA","2157","6200 Smith Avenue, Newark","11/15/2016 - 12/15/2016, Every day, Daily Average",2890,2234,3738
"1686","Embarcadero, San Francisco, CA","2169","1000 Liege Terrace, Morse Park, Sunnyvale","11/15/2016 - 12/15/2016, Every day, Daily Average",3279,2614,4111
"1686","Embarcadero, San Francisco, CA","2170","2500 Junction Avenue, North San Jose, San Jose","11/15/2016 - 12/15/2016, Every day, Daily Average",3717,2910,4747
"1686","Embarcadero, San Francisco, CA","2171","1400 Airport Boulevard, North San Jose, San Jose","11/15/2016 - 12/15/2016, Every day, Daily Average",3727,2901,4787
"1686","Embarcadero, San Francisco, CA","2187","4200 Middle Harbor Road, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1120,777,1612
"1686","Embarcadero, San Francisco, CA","2197","1700 Monsanto Way, Concord","11/15/2016 - 12/15/2016, Every day, Daily Average",2541,1948,3312
"1686","Embarcadero, San Francisco, CA","2199","1900 Hughes Drive, Monument Corridor, Concord","11/15/2016 - 12/15/2016, Every day, Daily Average",2255,1740,2922
"1686","Embarcadero, San Francisco, CA","2200","2500 Cedro Lane, Ygnacio Valley, Walnut Creek","11/15/2016 - 12/15/2016, Every day, Daily Average",2610,1857,3667
"1686","Embarcadero, San Francisco, CA","2202","Bollinger Estates Court, San Ramon","11/15/2016 - 12/15/2016, Every day, Daily Average",2540,1896,3402
"1686","Embarcadero, San Francisco, CA","2203","Spengler Trail, Lafayette","11/15/2016 - 12/15/2016, Every day, Daily Average",2172,1652,2855
"1686","Embarcadero, San Francisco, CA","2205","0 Ashbrook Place, Corliss, Moraga","11/15/2016 - 12/15/2016, Every day, Daily Average",1954,1574,2425
"1686","Embarcadero, San Francisco, CA","2210","200 South 17th Street, Coronado, Richmond","11/15/2016 - 12/15/2016, Every day, Daily Average",1702,1131,2559
"1686","Embarcadero, San Francisco, CA","2212","500 63rd Street, Upper Telegraph, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1403,1087,1810
"1686","Embarcadero, San Francisco, CA","2213","800 40th Street, Longfellow, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1151,816,1623
"1686","Embarcadero, San Francisco, CA","2214","1900 Melvin Road, Oakmore, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1676,1228,2286
"1686","Embarcadero, San Francisco, CA","2215","1500 East 31st Street, Tuxedo, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1347,961,1886
"1686","Embarcadero, San Francisco, CA","2216","2800 Morgan Avenue, Lincoln Highlands, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1693,1199,2389
