"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1718","300 Arballo Dr, San Francisco, CA","322","300 Warwick Avenue, Adams Point, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1962,1370,2808
"1718","300 Arballo Dr, San Francisco, CA","323","900 Embarcadero West, West Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1999,1455,2744
"1718","300 Arballo Dr, San Francisco, CA","338","100 Hinman Road, Redwood City","11/15/2016 - 12/15/2016, Every day, Daily Average",1736,1336,2255
"1718","300 Arballo Dr, San Francisco, CA","345","400 Moffett Boulevard, Mountain View","11/15/2016 - 12/15/2016, Every day, Daily Average",2269,1851,2780
"1718","300 Arballo Dr, San Francisco, CA","347","900 Sycamore Drive, Midtown, Palo Alto","11/15/2016 - 12/15/2016, Every day, Daily Average",2037,1683,2464
"1718","300 Arballo Dr, San Francisco, CA","380","2800 Moorpark Avenue, West San Jose, San Jose","11/15/2016 - 12/15/2016, Every day, Daily Average",2800,2301,3406
"1718","300 Arballo Dr, San Francisco, CA","394","3600 Page Street, Friendly Acres, Redwood City","11/15/2016 - 12/15/2016, Every day, Daily Average",1888,1456,2446
"1718","300 Arballo Dr, San Francisco, CA","395","300 Sequoia Avenue, Redwood City","11/15/2016 - 12/15/2016, Every day, Daily Average",1664,1487,1861
"1718","300 Arballo Dr, San Francisco, CA","408","1800 Hillside Boulevard, Colma","11/15/2016 - 12/15/2016, Every day, Daily Average",686,461,1019
"1718","300 Arballo Dr, San Francisco, CA","409","200 Nelson Avenue, Edgemar - Pacific Manor, Pacifica","11/15/2016 - 12/15/2016, Every day, Daily Average",630,416,953
"1718","300 Arballo Dr, San Francisco, CA","423","200 Locust Avenue, San Rafael","11/15/2016 - 12/15/2016, Every day, Daily Average",2249,1817,2783
"1718","300 Arballo Dr, San Francisco, CA","433","600 Vanessa Drive, Central San Mateo, San Mateo","11/15/2016 - 12/15/2016, Every day, Daily Average",1412,1051,1896
"1718","300 Arballo Dr, San Francisco, CA","434","1300 Franklin Street, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1948,1509,2513
"1718","300 Arballo Dr, San Francisco, CA","443","New Corona Heights Trail, The Castro, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1442,1119,1858
"1718","300 Arballo Dr, San Francisco, CA","445","900 Divisadero Street, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1699,1390,2076
"1718","300 Arballo Dr, San Francisco, CA","452","1200 Green Street, Russian Hill, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",2087,1639,2656
"1718","300 Arballo Dr, San Francisco, CA","457","3100 West Street, Hoover - Foster, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1923,1355,2727
"1718","300 Arballo Dr, San Francisco, CA","458","900 Webster Street, Downtown Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",2040,1417,2936
"1718","300 Arballo Dr, San Francisco, CA","495","4200 Shelter Creek Lane, San Bruno","11/15/2016 - 12/15/2016, Every day, Daily Average",673,470,962
"1718","300 Arballo Dr, San Francisco, CA","528","600 Lexington Way, Oak Grove Manor, Burlingame","11/15/2016 - 12/15/2016, Every day, Daily Average",1147,834,1576
"1718","300 Arballo Dr, San Francisco, CA","529","100 36th Avenue, South San Mateo, San Mateo","11/15/2016 - 12/15/2016, Every day, Daily Average",1811,1388,2361
"1718","300 Arballo Dr, San Francisco, CA","532","200 Beach Street, North Beach, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",2165,1650,2840
"1718","300 Arballo Dr, San Francisco, CA","533","1400 Grant Avenue, North Beach, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",2087,1594,2731
"1718","300 Arballo Dr, San Francisco, CA","534","200 Walnut Street, Presidio Heights, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1611,1290,2011
"1718","300 Arballo Dr, San Francisco, CA","535","0 Rossi Avenue, Richmond District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1391,1065,1816
"1718","300 Arballo Dr, San Francisco, CA","536","800 Franklin Street, Fillmore District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1852,1461,2347
