Scenario,Response,Mean,Median,Minimum,Maximum,HalfWidth,Mean Confidence Interval Start,Mean Confidence Interval End,Upper Percentile,Upper Percentile Confidence Interval Start,Upper Percentile Confidence Interval End,Lower Percentile,Lower Percentile Confidence Interval Start,Lower Percentile Confidence Interval End
001,OffUtilization,0.567613848713883,0.569650018527327,0.560501742462804,0.574695600862282,0.00569475640393283,0.56191909230995,0.573308605117815,0.571680284942896,NaN,NaN,0.562662647822353,NaN,NaN
001,EveningUtilization,0.349616638772682,0.34788354504228,0.343558564922333,0.365105665074199,0.00887973335132702,0.340736905421355,0.358496372124009,0.353287680472945,NaN,NaN,0.343661244392829,NaN,NaN
001,MorningUtilization,0.138183595392331,0.14265371902828,0.129239424427569,0.145762359539989,0.00699087327316353,0.131192722119168,0.145174468665495,0.143466697389681,NaN,NaN,0.13318264746514,NaN,NaN
001,AvgPassTime,0.500431705457359,0.500432833671132,0.500424685328976,0.500438023055713,5.83915643482278E-06,0.500425866300924,0.500437544613794,0.500437916365036,NaN,NaN,0.50042703058811,NaN,NaN
002,OffUtilization,0.567894115225242,0.570821433218655,0.5483882534974,0.595296979493541,0.0182556479464318,0.54963846727881,0.586149763171674,0.575552984192931,NaN,NaN,0.550193227557156,NaN,NaN
002,EveningUtilization,0.347521722931733,0.350077078821439,0.338393854509569,0.360133441470005,0.00991262113914414,0.337609101792589,0.357434344070877,0.356540796865062,NaN,NaN,0.338912004429607,NaN,NaN
002,MorningUtilization,0.139754160206789,0.140874713337664,0.129450225031066,0.154002288282524,0.00971599618462398,0.130038164022165,0.149470156391413,0.145228879422219,NaN,NaN,0.130453723500443,NaN,NaN
002,AvgPassTime,0.500143541070068,0.500144054578512,0.500139742424631,0.500148434405568,3.34026745777282E-06,0.50014020080261,0.500146881337526,0.500145503121408,NaN,NaN,0.500140813279549,NaN,NaN
003,OffUtilization,0.571248476974247,0.570471843403182,0.569598511486224,0.573718220540421,0.00191628563895243,0.569332191335295,0.573164762613199,0.573422146869867,NaN,NaN,0.569968189736867,NaN,NaN
003,EveningUtilization,0.349438967771746,0.351439932580684,0.345046083520919,0.354794047273804,0.00421982833736438,0.345219139434382,0.353658796109111,0.352604859910474,NaN,NaN,0.346243958047107,NaN,NaN
003,MorningUtilization,0.142007115090203,0.144688525536196,0.13566507405688,0.145819031029768,0.00498086416895971,0.137026250921243,0.146987979259162,0.145192418770962,NaN,NaN,0.13615897641215,NaN,NaN
003,AvgPassTime,0.500727208989799,0.500726204187113,0.500720280086206,0.500735105789005,6.09536377293192E-06,0.500721113626026,0.500733304353572,0.500733398198899,NaN,NaN,0.500724054307547,NaN,NaN
004,OffUtilization,0.570932111357157,0.575189389316918,0.557757200035145,0.579106398411658,0.00836369714452624,0.562568414212631,0.579295808501683,0.575549716937535,NaN,NaN,0.56511367079599,NaN,NaN
004,EveningUtilization,0.348520984844354,0.35044596262234,0.342912369382096,0.351506186685673,0.00339553239864233,0.345125452445711,0.351916517242996,0.351074067884335,NaN,NaN,0.347503611017725,NaN,NaN
004,MorningUtilization,0.139762293932176,0.141566484573487,0.135439620254398,0.142627703663199,0.00282074711383187,0.136941546818344,0.142583041046008,0.141632703398408,NaN,NaN,0.138611294296788,NaN,NaN
004,AvgPassTime,0.500289367226377,0.50029041630741,0.500284651636943,0.50029158348187,2.60685521485674E-06,0.500286760371163,0.500291974081592,0.500290802179,NaN,NaN,0.500288858036764,NaN,NaN
005,OffUtilization,0.572883562540904,0.571923080937412,0.555812719610316,0.588990978825065,0.0120251852190454,0.560858377321859,0.58490874775995,0.581822361331044,NaN,NaN,0.56932218144607,NaN,NaN
005,EveningUtilization,0.346948405019677,0.3486367846869,0.340135256655294,0.353398136903427,0.00479318772492352,0.342155217294753,0.3517415927446,0.349361277146153,NaN,NaN,0.344533928229454,NaN,NaN
005,MorningUtilization,0.138955342082526,0.14287599520932,0.130432678201841,0.144804083393971,0.00623036192287901,0.132724980159647,0.145185704005405,0.144225019949291,NaN,NaN,0.134122597337493,NaN,NaN
005,AvgPassTime,0.50057825930064,0.500580470753267,0.500565198971127,0.500586161409694,7.38051389037734E-06,0.50057087878675,0.500585639814531,0.500580771249449,NaN,NaN,0.50057726978473,NaN,NaN
006,OffUtilization,0.570460624449924,0.570820347617013,0.566215464770599,0.572934416776412,0.00259612062726893,0.567864503822655,0.573056745077193,0.572820298025148,NaN,NaN,0.569598511486224,NaN,NaN
006,EveningUtilization,0.348531424623878,0.355709174213424,0.335458277160982,0.363880129648677,0.0135124285176785,0.335018996106199,0.362043853141556,0.360439264757462,NaN,NaN,0.337251512590209,NaN,NaN
006,MorningUtilization,0.142007115090203,0.144688525536196,0.13566507405688,0.145819031029768,0.00498086416895971,0.137026250921243,0.146987979259162,0.145192418770962,NaN,NaN,0.13615897641215,NaN,NaN
006,AvgPassTime,0.500529167839558,0.500531184596866,0.500524674185067,0.500534805724961,4.73370360767214E-06,0.50052443413595,0.500533901543166,0.500533398361673,NaN,NaN,0.500525003537178,NaN,NaN
007,OffUtilization,0.569478877237814,0.571335290326113,0.551591073877633,0.590830585871193,0.0151366390851065,0.554342238152708,0.584615516322921,0.580031917847898,NaN,NaN,0.558136389344908,NaN,NaN
007,EveningUtilization,0.351254612438937,0.352912964952724,0.345624374348356,0.355449599876286,0.00411247627895793,0.347142136159979,0.355367088717895,0.355228455985229,NaN,NaN,0.348919702677228,NaN,NaN
