"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"302","Bayview, San Francisco, CA","1265","0 Stoneybrook Avenue, Excelsior, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",765,575,1016
"302","Bayview, San Francisco, CA","1271","200 Bacon Street, Excelsior, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",605,397,921
"302","Bayview, San Francisco, CA","1272","500 Moscow Street, Excelsior, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1033,817,1306
"302","Bayview, San Francisco, CA","1273","200 Naglee Avenue, Outer Mission, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",984,713,1356
"302","Bayview, San Francisco, CA","1276","1100 Golden Gate Avenue, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1622,1205,2182
"302","Bayview, San Francisco, CA","1277","300 Hayes Street, Civic Center, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1323,931,1878
"302","Bayview, San Francisco, CA","1278","100 Noe Street, The Castro, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1426,1045,1944
"302","Bayview, San Francisco, CA","1279","1100 Folsom Street, South of Market, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1088,776,1523
"302","Bayview, San Francisco, CA","1280","300 Church Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1374,1044,1807
"302","Bayview, San Francisco, CA","1281","700 Guerrero Street, Mission Dolores, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1246,982,1579
"302","Bayview, San Francisco, CA","1282","1600 Church Street, Noe Valley, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1028,756,1396
"302","Bayview, San Francisco, CA","1291","1500 Balboa Street, Richmond District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",2077,1543,2795
"302","Bayview, San Francisco, CA","1293","400 Moraga Street, Sunset District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1654,1323,2067
"302","Bayview, San Francisco, CA","1294","600 Panorama Drive, Midtown Terrace, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1434,1151,1785
"302","Bayview, San Francisco, CA","1295","0 Avoca Alley, West of Twin Peaks, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1130,876,1457
"302","Bayview, San Francisco, CA","1296","1300 22nd Avenue, Sunset District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1870,1512,2312
